bathrooms,bedrooms,city,comingSoonOnMarketDate,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,newConstructionType,openHouse,open_house_info,price,priceChange,priceForHDP,priceReduction,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid
3.0,2.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7144c40ea231407983d83e567989e4ce-p_e.jpg,False,True,False,False,,False,False,False,39.95138,{'is_FSBA': True},2164.0,-104.94069,sqft,3650.0,,,,500000.0,,500000.0,,,2855,False,CO,14068 Harrison Street,553000.0,3436783000,497900,80602,245120901
2.0,3.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aad6891ba30f22f3fad8babc134363d8-p_e.jpg,False,True,False,False,,False,False,False,39.858696,{'is_FSBA': True},1130.0,-104.97252,sqft,7405.2,,,,499900.0,,499900.0,,,2644,False,CO,1390 Ash Court,453000.0,473032000,499500,80229,12984519
2.0,3.0,Thornton,1739923200000,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/10b51c1997e5758bee74ea7b774f8356-p_e.jpg,False,True,False,False,,False,False,False,39.94951,{'is_comingSoon': True},1325.0,-104.949684,sqft,3715.0,,,,465000.0,,465000.0,,,2372,False,CO,13965 Adams Street,513000.0,27319000,465300,80602,58290331
,,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/6a1255c76717315cf70703a433e3540b-p_e.jpg,False,True,False,False,,False,False,False,39.96086,{'is_FSBA': True},,-104.937416,acres,3.5,,,,500000.0,,500000.0,,,,False,CO,4225 E 145 Avenue,200000.0,1629891000,,80602,2079936112
,,Thornton,,USA,USD,1730793600000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/dc3ca333bafc5cf6905e19a4601a1a21-p_e.jpg,False,True,False,False,,False,False,False,39.881775,{'is_FSBA': True},,-104.95974,acres,1.76,,,,499500.0,-100500,499500.0,,,2454,False,CO,10221 York Place,,41972929000,,80229,2069980227
,,Denver,,USA,USD,1737446400000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/861ae5f42458ac24e9231c47a5b79474-p_e.jpg,False,True,False,False,,False,False,False,39.857193,{'is_FSBA': True},,-104.99717,acres,0.7300045913682277,,,,500000.0,-299000,500000.0,"$299,000 (Jan 21)",,1845,False,CO,8881 Huron Street,,23133714000,,80260,2077450537
,,Thornton,,USA,USD,1733990400000,-1,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/c8b3e86a33bde18d704d72cafd929484-p_e.jpg,False,True,False,False,,False,False,False,39.929485,{'is_FSBA': True},,-104.982285,acres,1.1189,,,,450000.0,-45000,450000.0,"$45,000 (Dec 12)",,,False,CO,12851 Grant Dr,312903.0,37203998000,,80241,187517787
2.0,3.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97de6f11bded9a61413d87a7c77b7799-p_e.jpg,False,True,False,False,True,False,False,False,39.888336,{'is_forAuction': True},1575.0,-104.93199,,,,,,0.0,,0.0,,,2562,False,CO,4470 E 106th Dr,554000.0,269309000,485000,80233,13004499
2.0,3.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/56395f1af0f64dd80519df4147f436be-p_e.jpg,False,True,False,False,True,False,False,False,39.86236,{'is_forAuction': True},1885.0,-104.93586,sqft,8276.4,,,,0.0,,0.0,,,2792,False,CO,9127 Birch St,500000.0,3440973000,489300,80229,13006543
2.0,4.0,Thornton,,USA,USD,,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a9641379d6309bd37ebed6d3de2fdc80-p_e.jpg,False,True,False,False,True,False,False,False,39.899498,{'is_forAuction': True},1307.0,-104.92541,acres,0.25,,,,0.0,,0.0,,,2574,False,CO,5202 E 111th Ct,514000.0,1021767000,474100,80233,13004046
