bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,videoCount,zestimate,zipcode,zpid
2.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/97edc911f707eb13fccfe16c3cf50846-p_e.jpg,True,True,False,False,False,False,False,False,39.687523,{},2195.0,-105.151764,,,2895.0,,2895.0,,2948,False,CO,1720 S Deframe Ct,555112.0,1253288000,,,580300,80228,13778175
3.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/547e4bfaf13a36379c928d9400d15951-p_e.jpg,True,True,False,False,False,False,False,False,39.722557,{},3500.0,-105.060776,,,3000.0,,3000.0,,3316,False,CO,5862 W 4th Ave,,1693265000,,,718000,80226,2110640522
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8fda69547c48e306992fea749abc368f-p_e.jpg,True,True,False,False,False,False,False,False,39.74711,{},864.0,-105.06418,,,2595.0,,2595.0,,2829,False,CO,1985 Ingalls St,572148.0,1148337000,,,529700,80214,13749692
3.0,2.0,Lakewood,USA,USD,,11,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/46e63e37a60e9f9da94008cceffa5e21-p_e.jpg,True,True,False,False,False,False,False,False,39.682793,{},1057.0,-105.15446,,,2300.0,,2300.0,,2178,False,CO,1880 S Cole St UNIT B3,404410.0,1034268000,Unit B3,,409700,80228,51407765
2.0,1.0,Lakewood,USA,USD,1737792000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/703001f635f0347b23481e27c2309d6a-p_e.jpg,True,True,False,False,False,False,False,False,39.7538,{},1010.0,-105.10463,,,1700.0,-100,1700.0,$100 (Jan 25),1721,False,CO,9604 W 25th Pl #B,618439.0,2966528000,# B,,790800,80215,13746912
2.0,4.0,Lakewood,USA,USD,1736150400000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1ca2259c126f6c73d70662657226771e-p_e.jpg,True,True,False,False,False,False,False,False,39.703785,{},2000.0,-105.07253,,,3250.0,-150,3250.0,$150 (Jan 6),3019,False,CO,705 S Pierce St,566070.0,7112185000,,,580700,80226,13771870
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/64f1acabf722b11616291443dc85b20e-p_e.jpg,True,True,False,False,False,False,False,False,39.709812,{},1880.0,-105.1253,,,3000.0,,3000.0,,2891,False,CO,355 S Queen St,497708.0,6076888000,,,515500,80226,13774027
3.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bcbd2b67aa1a0e15d88e81850f3f3734-p_e.jpg,True,True,False,False,False,False,False,False,39.702595,{},1766.0,-105.11893,,,3245.0,,3245.0,,,False,CO,767 S Oak St,,563968000,,,666300,80226,442563104
2.0,5.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6c432caa1bd0df40ef9df67cc1d6900d-p_e.jpg,True,True,False,False,False,False,False,False,39.703274,{},1700.0,-105.12882,sqft,6534.0,3300.0,,3300.0,,3146,False,CO,691 S Simms St,426855.0,8419375000,,,610000,80228,13776493
3.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/405014112164c54b562db45ecca0a039-p_e.jpg,False,True,False,False,False,False,False,False,39.74521,{},2278.0,-105.06465,,,5000.0,,5000.0,,3948,False,CO,1772 Jay St,1022669.0,138820000,,,893900,80214,13749986
1.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/48e97929150ba1f9a7b4fa8cda9ca6cf-p_e.jpg,False,True,False,False,False,False,False,False,39.74941,{},1000.0,-105.07455,,,2500.0,,2500.0,,2352,False,CO,2170 Reed Dr,744656.0,125245000,,,744100,80214,119085034
3.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2fdbde23b9a7831fea63d23f043119be-p_e.jpg,False,True,False,False,False,False,False,False,39.75068,{},3004.0,-105.141716,,,5000.0,,5000.0,,2958,False,CO,12750 W 23rd Ave,890787.0,658025000,,,916700,80215,13744311
3.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/faac85e7d754d3b23d02702ed20aa9c0-p_e.jpg,False,True,False,False,False,False,False,False,39.691216,{},2293.0,-105.11498,,,3750.0,,3750.0,,3417,False,CO,10403 W Arkansas Dr,616061.0,324188000,,,657400,80232,13780202
1.0,2.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9d7ffd00ab6dde5bb11e591019a18b39-p_e.jpg,False,True,False,False,False,False,False,False,39.74587,{},968.0,-105.06582,,,2850.0,,2850.0,,1818,False,CO,1900 Kendall St,540899.0,1850436000,,,534900,80214,13749723
2.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c10a8d83c369e35b8bf8b26515d1e9fe-p_e.jpg,False,True,False,False,False,False,False,False,39.69518,{},1772.0,-105.05775,,,3500.0,,3500.0,,3265,False,CO,5595 W Arizona Ave,580897.0,927962000,,,593300,80232,119084336
3.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4030c77c812456285c19a575dc27d3a6-p_e.jpg,False,True,False,False,False,False,False,False,39.649845,{},3000.0,-105.099915,,,4100.0,,4100.0,,4652,False,CO,3700 S Garrison St,807648.0,810524000,,,1401200,80235,13807367
1.0,2.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/01ceb581af9e9e9077da281a9868829c-p_e.jpg,False,True,False,False,False,False,False,False,39.6884,{},1013.0,-105.09815,,,2200.0,,2200.0,,1961,False,CO,1556 S Field Ct,533071.0,503247000,,,539900,80232,13783101
2.0,3.0,Lakewood,USA,USD,,22,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/05213d9352cdcd78f50d5ec7f0acfdca-p_e.jpg,False,True,False,False,False,False,False,False,39.70412,{},1250.0,-105.15038,,,4000.0,,4000.0,,2793,False,CO,13427 W Exposition Dr,684553.0,1952881000,,1,714800,80228,13777330
3.0,4.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4d3cf9e61f0b73c3beba48a246767a7f-p_e.jpg,False,True,False,False,False,False,False,False,,{},2000.0,,,,2850.0,,2850.0,,3087,False,CO,(undisclosed Address),,1351628000,,,487600,80228,2060435588
2.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/945f531310f60393b6a4065301bab58c-p_e.jpg,False,True,False,False,False,False,False,False,39.734566,{},1910.0,-105.07583,,,2650.0,,2650.0,,2932,False,CO,7100 W 12th Ave,528836.0,761071000,,,634100,80214,13760533
2.0,4.0,Golden,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b0063b876ea51cb267700ef2d47a16c4-p_e.jpg,False,True,False,False,False,False,False,False,39.73713,{},2512.0,-105.129616,,,3450.0,,3450.0,,3475,False,CO,11700 W Security Ave,602176.0,1850037000,,,666900,80401,13762754
5.0,4.0,Lakewood,USA,USD,1732608000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f53cbc9d5bbcab144a214ab023467a76-p_e.jpg,False,True,False,False,False,False,False,False,39.664845,{},4025.0,-105.15669,,,5500.0,-250,5500.0,$250 (Nov 26),5083,False,CO,14146 W Cornell Ave,864314.0,10527215000,,,929000,80228,13795394
2.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e3ed715037c3789ed504cb397135ee14-p_e.jpg,False,True,False,False,False,False,False,False,39.717773,{},1100.0,-105.14282,,,2200.0,,2200.0,,2402,False,CO,136 Yank Way,,716731000,,,356500,80228,2060660015
4.0,4.0,Lakewood,USA,USD,1734336000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/28e8f9b61528b75855af000ceba544e9-p_e.jpg,False,True,False,False,False,False,False,False,39.72643,{},2400.0,-105.08822,,,3800.0,2200,3800.0,,3814,False,CO,625 Ammons St,561469.0,5083492000,,,651200,80214,13761044
1.0,3.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/634464ecce06c476b03066c6b2b1ca23-p_e.jpg,False,True,False,False,False,False,False,False,39.686394,{},1008.0,-105.054886,,,2800.0,,2800.0,,2306,False,CO,1672 S Benton St,435009.0,607402000,,,425200,80232,13787177
2.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/49c670ea941199a16c10d2b452d4f283-p_e.jpg,False,True,False,False,False,False,False,False,39.727364,{},1600.0,-105.094154,,,3500.0,,3500.0,,3358,False,CO,665 Dudley St,564097.0,332556000,,,633000,80215,13762160
4.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cde0147d02bd68b800ef947ba54bc1c1-p_e.jpg,False,True,False,False,False,False,False,False,39.732002,{},3750.0,-105.0748,,,5500.0,,5500.0,,5132,False,CO,6990 W 9th Pl,870387.0,2225291000,,,972300,80214,13761124
2.0,3.0,Lakewood,USA,USD,1739260800000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/32ecf00b63a91fa8dc1c69d7c261f87e-p_e.jpg,False,True,False,False,False,False,False,False,39.715126,{},2172.0,-105.05769,,,3500.0,-200,3500.0,$200 (Feb 11),3415,False,CO,96 S Depew Dr,526448.0,2467838000,,,556300,80226,13769992
7.0,5.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b6580dd86b9a360f6a57d1f1f712ae5d-p_e.jpg,False,True,False,False,False,False,False,False,39.674503,{},8752.0,-105.1078,,,14879.0,,14879.0,,7487,False,CO,9825 W Wesley Ct,2906325.0,14058488000,,,2723900,80227,13790201
1.0,2.0,Denver,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b583fca4825e63a7b862cf7964a0b851-p_e.jpg,False,True,False,False,False,False,False,False,39.751072,{},700.0,-105.10151,,,1685.0,,1685.0,,1883,False,CO,2352 Garland St,,5356636000,,,424700,80215,2052899708
2.0,4.0,Lakewood,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a1e61be1fced0067096dca004b3d327d-p_e.jpg,False,True,False,False,False,False,False,False,39.734818,{},1940.0,-105.11395,,,2895.0,,2895.0,,2844,False,CO,10371 W 12th Ave,720625.0,232381000,,,755100,80215,13762397
