bathrooms,bedrooms,city,country,currency,datePriceChanged,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceChange,priceForHDP,priceReduction,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,unit,zestimate,zipcode,zpid
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b99e3733a40e105420273254d1b9a607-p_e.jpg,True,True,False,False,False,False,False,False,44.895622,{},1512.0,-93.30648,,,2450.0,,2450.0,,2131,False,MN,5932 Newton Ave S,333000.0,913204000,,353000,55419,1896637
2.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d07d80c6bb63630b8f03f8d37d020f76-p_e.jpg,True,True,False,False,False,False,False,False,44.964977,{},1200.0,-93.25864,sqft,5009.400000000001,2000.0,,2000.0,,1942,False,MN,1802 11th Ave S #1,,755629000,# 1,195300,55404,2078897002
2.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f353e7e59d97ac3199e314ecca9c5632-p_e.jpg,True,True,False,False,False,False,False,False,44.931805,{},932.0,-93.22431,,,1995.0,,1995.0,,2249,False,MN,3916 Snelling Ave,260000.0,515508000,,225400,55406,1748230
1.0,2.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/65a7287cec9a0e832f0683e71af04c0a-p_e.jpg,True,True,False,False,False,False,False,False,45.014725,{},1250.0,-93.31369,,,1550.0,,1550.0,,1599,False,MN,3251 Thomas Ave N,200000.0,2401597000,,193700,55412,1762359
2.0,5.0,Minneapolis,USA,USD,1738051200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/daf7a6232369ad3425f68ad56fc2f083-p_e.jpg,True,True,False,False,False,False,False,False,44.98842,{},2761.0,-93.24332,,,2400.0,-100,2400.0,$100 (Jan 28),2624,False,MN,608 8th St SE,279000.0,6274255000,,313300,55414,1921466
2.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b5ed51f1f685ce6a5de06c99d9ee80d1-p_e.jpg,True,True,False,False,False,False,False,False,44.99176,{},2510.0,-93.2331,,,1850.0,,1850.0,,2519,False,MN,1303 E Hennepin Ave,300000.0,1420793000,,305300,55414,1812911
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f19f513a57a2b8671b87520726cc6c01-p_e.jpg,True,True,False,False,False,False,False,False,44.906487,{},1307.0,-93.26303,,,2500.0,,2500.0,,2263,False,MN,5316 Chicago Ave,264000.0,1027043000,,307500,55417,1819852
2.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ee151dba334084b9be6b35ad6c0dcccf-p_e.jpg,True,True,False,False,False,False,False,False,44.99108,{},2145.0,-93.21732,,,1800.0,,1800.0,,2067,False,MN,1100 25th Ave SE,253000.0,1420871000,,255500,55414,1876047
2.0,4.0,Minneapolis,USA,USD,1738137600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f328df1a11bbbc284ec6291aeffde6a9-p_e.jpg,True,True,False,False,False,False,False,False,45.035275,{},1400.0,-93.2574,,,2495.0,-5,2495.0,$5 (Jan 29),1965,False,MN,566 37th Ave NE,319000.0,33527000,,364500,55421,1706657
1.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ceccfe92baa7ff96a124b152aad45431-p_e.jpg,True,True,False,False,False,False,False,False,45.023697,{},1100.0,-93.240585,sqft,4791.6,2000.0,,2000.0,,1989,False,MN,1304 Saint Anthony Pkwy,,2543558000,,253100,55418,2110898180
3.0,3.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f1b446765935e54da1382586858a3522-p_e.jpg,True,True,False,False,False,False,False,False,44.992374,{},1500.0,-93.306076,,,1900.0,,1900.0,,2106,False,MN,1325 Newton Ave N,224000.0,2486791000,,248600,55411,1839785
2.0,5.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2110252b2b68746fc12eb397f83eb8da-p_e.jpg,True,True,False,False,False,False,False,False,44.991707,{},2119.0,-93.25442,,,2500.0,,2500.0,,3308,False,MN,800 4th St SE,,1422293000,,445600,55414,2077185964
2.0,5.0,Minneapolis,USA,USD,1738051200000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/629fd3e369a69e8c88a0626a7b9ea7e6-p_e.jpg,True,True,False,False,False,False,False,False,44.9876,{},3121.0,-93.22367,,,2400.0,-100,2400.0,$100 (Jan 28),3055,False,MN,2008 Como Ave SE,210000.0,3046587000,,235100,55414,1876595
2.0,4.0,Minneapolis,USA,USD,1738569600000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5d5087fca064d9445da5667c67d4e565-p_e.jpg,True,True,False,False,False,False,False,False,44.990543,{},1800.0,-93.230385,,,2395.0,-100,2395.0,$100 (Feb 3),2404,False,MN,1090 15th Ave SE,294000.0,5385144000,,300400,55414,1921005
2.0,2.0,Minneapolis,USA,USD,1733904000000,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3186ea7944664e298064ad2a0a27d0db-p_e.jpg,True,True,False,False,False,False,False,False,44.95985,{},1555.0,-93.28774,acres,0.3,2400.0,75,2400.0,,2441,False,MN,2309 Lyndale Ave S UNIT 402,,4717904000,Unit 402,332900,55405,2084631024
2.0,4.0,Minneapolis,USA,USD,,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cfa4831c2bbb4275632826ac93903c79-p_e.jpg,True,True,False,False,False,False,False,False,44.99051,{},2415.0,-93.219345,,,2100.0,,2100.0,,2613,False,MN,1081 24th Ave SE,231000.0,5065116000,,263700,55414,1876229
